token,count
君,93
誰,62
中,56
何,45
街,40
言葉,39
世界,39
私,39
夜,39
様,34
夢,33
パレード,32
ない,32
空,28
どこ,27
今,27
あなた,26
時間,24
星,22
海,21
胸,21
季節,21
風,21
夏,20
気持ち,20
それ,20
道,20
よう,19
歌,19
光,19
もの,19
遠い,19
新しい,19
心,18
いつ,17
目,17
気,16
魔法,16
手,16
向こう,15
声,15
長い,15
先,15
日,15
前,15
場所,14
子,14
願い事,14
いつか,13
色,13
景色,13
まま,13
明日,12
日々,12
人,12
魚,12
奥,12
物語,11
時,11
シューティングスター,11
思い出,11
度,11
メロディ,10
波,10
上,10
たち,9
扉,9
未来,9
僕,9
わたし,9
大事,9
恋,9
楽しい,9
月,9
美しい,9
毎日,9
全部,8
knock,8
今日,8
うまい,8
地図,8
無数,8
まぶしい,8
鼓動,8
秘密,8
全て,7
宇宙,7
音,7
回,7
みたい,7
世界中,7
一,7
正しい,7
みんな,7
日常,7
僕ら,7
遠く,7
事,7
帰り道,7
白い,7
窓,7
形,7
理由,7
青い,7
意味,7
名前,7
リズム,7
国,7
高い,7
歌声,7
点,7
スピード,6
RUN,6
地球,6
瞳,6
戦い,6
話,6
約束,6
方,6
午後,6
日差し,6
鳴り,6
そう,6
Lie,6
時計,6
灯り,6
後,6
耳,6
迷路,6
息,6
早い,5
色とりどり,5
匂い,5
頃,5
影,5
足,5
脈,5
本当,5
荷物,5
完璧,5
自分,5
二人,5
好き,5
悲しい,5
静か,5
そこ,5
髪,5
空気,5
夜明け,5
はず,5
羽,5
眩しい,5
シナリオ,5
寂しい,5
夜空,5
呼吸,5
選び,5
答え,5
速い,5
ここ,5
指,4
間,4
針,4
波間,4
星空,4
行方,4
ハート,4
確か,4
明かり,4
瞬間,4
ため,4
大好き,4
虹,4
透明,4
ステップ,4
予定,4
次,4
旅,4
ステージ,4
ひと,4
ライン,4
オレンジ,4
巨大,4
渦,4
夕暮れ,4
グリーン,4
星座,4
損,4
amp,4
ベル,4
友達,4
あっち,4
呪文,4
運命,4
&,4
朝,4
とめどない,4
不思議,4
欠片,4
行き先,4
これ,4
線,4
たくさん,4
;,4
服,4
足跡,4
口笛,4
星屑,4
ひとり,4
万,4
イエロー,4
花,4
大人,4
ブルー,4
幕,4
裏側,4
強い,3
2,3
悪い,3
列車,3
ペン,3
こっち,3
不能,3
点滅,3
一緒,3
陽炎,3
きれい,3
大,3
残り香,3
大丈夫,3
始まり,3
船,3
行く先,3
水,3
砂,3
いい,3
途中,3
微か,3
ガラス,3
一つ,3
境界,3
嘘,3
電車,3
回り道,3
